AID,Membrane receptor,Enzyme (other),Nuclear receptor,Hydrolase,Protease,Transcription factor,Kinase,Epigenetic regulator,Ion channel,Transferase,Oxidoreductase,Transporter,NTPase,Phosphatase
activity_652106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2676,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720504,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_720542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651768,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_504444,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_743279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651550,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1259400,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651965,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_540263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485314,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_651724,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_488837,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_485353,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_540303,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_485298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504706,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_485313,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_485297,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2551,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_2546,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_540276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_540256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2662,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_2315,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2549,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_880,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2147,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_485360,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1458,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624352,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_651699,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_651647,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1347056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_489030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_489031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485273,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259388,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_588692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602393,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1662,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2221,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_940,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1422,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602162,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_588499,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_504490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488847,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2557,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624170,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_624171,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_624414,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1347076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624415,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1347120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504339,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_504891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_540317,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_624202,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_720707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504333,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_504332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_540253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1461,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1457,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1454,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1224865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588473,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588475,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_493187,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_504462,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_463195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1496,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1012,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743269,0,0,0,1,0,0,0,1,0,0,0,0,0,0
activity_652017,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_2642,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_488922,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1423,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1441,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_950,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1007,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651636,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_493098,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2521,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2520,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686940,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_720508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720543,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_720582,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_720648,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_720700,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_720704,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_651958,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_602396,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_624169,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651602,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_602229,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_588352,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_588726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588354,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_651719,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504326,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504357,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_434989,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_435030,0,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_449728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463141,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_463210,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_485270,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485272,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2435,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2445,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2606,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_2796,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_2797,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1987,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_2235,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_2300,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1899,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1962,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1527,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1556,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1700,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1706,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1861,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1304,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1359,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1416,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1424,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1446,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1481,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1509,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1510,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1515,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1040,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_793,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_803,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_828,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_623870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602329,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_651654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652154,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_504884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602481,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_652163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588549,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_651711,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_652162,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_588436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686996,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_720511,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_651640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652197,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_488895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488965,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_493131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504523,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_504582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_623901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488839,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_602340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488899,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_540336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488896,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504775,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743445,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_743398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_2066,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_2029,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2661,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2718,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_2650,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_435005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2097,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1053175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720641,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_588519,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_492967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485395,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_493033,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_540299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588497,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_588501,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_504577,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_485275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686979,0,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_686978,0,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_624173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347131,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_1159524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347071,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588453,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_588456,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_588795,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_602179,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_686970,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_686971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485364,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2528,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_485290,0,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_2517,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_485281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651820,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_540267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504937,0,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_624288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463254,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_720580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652105,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_2101,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_504834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485349,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2314,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2472,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_2451,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1868,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1768,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1631,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1634,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2107,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1030,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_1379,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2242,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1476,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1478,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1452,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_894,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_902,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_924,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1347417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_881,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_624168,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_624204,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_624354,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651560,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_602244,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602261,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_602274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602399,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_588458,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_588489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588621,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_588850,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_602141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504720,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_493091,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_493160,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_493011,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_493012,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_449763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_435022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_435003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1135,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1217,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
