AID,cancer,nervous System,immune system,cardiovascular,toxicity,obesity,virus,diabetes,metabolic disorders,bacteria,parasite,epigenetics_genetics,pulmonary,infection,aging,fungal
activity_1359,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
activity_1416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1446,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1448,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1481,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1486,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1510,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1040,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
activity_861,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_793,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_623870,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_743287,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_602329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_602405,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_651610,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_652154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504884,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_602481,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_652163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588549,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_651711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_652162,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
activity_588436,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_651687,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0
activity_651723,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0
activity_588391,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_686996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720511,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_651640,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_651661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504558,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_652197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488895,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_488965,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_493131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_504523,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504582,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_504423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_602342,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_623901,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_743397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_488839,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602340,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
activity_488899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_540336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_504406,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_488896,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
activity_504775,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
activity_743445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2066,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2661,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_435005,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_1885,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_2097,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1910,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_841,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1053175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1259309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1259311,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_720641,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
activity_588519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_492967,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_504770,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_485395,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_493033,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_540299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_651702,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_588497,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
activity_588501,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
activity_504577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_485275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_2690,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602332,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_686979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624173,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1347131,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
activity_1159524,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
activity_1347071,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259415,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
activity_588453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485364,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_2528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651820,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_540267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_504937,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_624288,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_624287,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_463254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720580,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_504466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_504834,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_485349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2685,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_720579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_504832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_2100,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
activity_2314,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
activity_2472,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_2451,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1868,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
activity_1460,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1631,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1634,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2107,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
activity_1471,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
